2025-07-17 09:38:10 - Starting n8n-MCP server...
2025-07-17 09:38:16 - Waiting for port 37229...
2025-07-17 09:38:18 - Waiting for port 37229...
2025-07-17 09:38:20 - Waiting for port 37229...
2025-07-17 09:38:22 - Waiting for port 37229...
2025-07-17 09:38:24 - Waiting for port 37229...
2025-07-17 09:38:26 - Waiting for port 37229...
2025-07-17 09:38:28 - Waiting for port 37229...
2025-07-17 09:38:31 - Waiting for port 37229...
2025-07-17 09:38:33 - Waiting for port 37229...
2025-07-17 09:38:35 - Waiting for port 37229...
2025-07-17 09:38:37 - Waiting for port 37229...
2025-07-17 09:38:39 - Waiting for port 37229...
2025-07-17 09:38:41 - Waiting for port 37229...
2025-07-17 09:38:43 - Waiting for port 37229...
2025-07-17 09:38:45 - Waiting for port 37229...
2025-07-17 09:38:47 - Waiting for port 37229...
2025-07-17 09:38:49 - Waiting for port 37229...
2025-07-17 09:38:51 - Waiting for port 37229...
2025-07-17 09:38:53 - Waiting for port 37229...
2025-07-17 09:38:56 - Waiting for port 37229...
2025-07-17 09:38:58 - Waiting for port 37229...
2025-07-17 09:39:00 - Waiting for port 37229...
2025-07-17 09:39:02 - Waiting for port 37229...
2025-07-17 09:39:04 - Waiting for port 37229...
2025-07-17 09:39:06 - Waiting for port 37229...
2025-07-17 09:39:08 - Waiting for port 37229...
2025-07-17 09:39:10 - Waiting for port 37229...
2025-07-17 09:39:12 - Waiting for port 37229...
2025-07-17 09:39:14 - Waiting for port 37229...
2025-07-17 09:39:16 - Waiting for port 37229...
2025-07-17 09:39:18 - Waiting for port 37229...
2025-07-17 09:39:20 - Waiting for port 37229...
2025-07-17 09:39:23 - Waiting for port 37229...
2025-07-17 09:39:25 - Waiting for port 37229...
2025-07-17 09:39:27 - Waiting for port 37229...
2025-07-17 09:39:29 - Waiting for port 37229...
2025-07-17 09:39:31 - Waiting for port 37229...
2025-07-17 09:39:33 - Waiting for port 37229...
2025-07-17 09:39:35 - Waiting for port 37229...
2025-07-17 09:39:37 - Waiting for port 37229...
2025-07-17 09:39:40 - Waiting for port 37229...
2025-07-17 09:39:42 - Waiting for port 37229...
2025-07-17 09:39:44 - Waiting for port 37229...
2025-07-17 09:39:46 - Waiting for port 37229...
2025-07-17 09:39:48 - Waiting for port 37229...
2025-07-17 09:39:50 - Waiting for port 37229...
2025-07-17 09:39:52 - Waiting for port 37229...
2025-07-17 09:39:54 - Waiting for port 37229...
2025-07-17 09:39:56 - Waiting for port 37229...
2025-07-17 09:39:58 - Waiting for port 37229...
2025-07-17 09:40:00 - Waiting for port 37229...
2025-07-17 09:40:02 - Waiting for port 37229...
2025-07-17 09:40:05 - Waiting for port 37229...
2025-07-17 09:40:09 - Waiting for port 37229...
2025-07-17 09:40:11 - Waiting for port 37229...
2025-07-17 09:40:13 - Waiting for port 37229...
2025-07-17 09:40:15 - Waiting for port 37229...
2025-07-17 09:40:18 - Waiting for port 37229...
2025-07-17 09:40:20 - Waiting for port 37229...
2025-07-17 09:40:22 - Waiting for port 37229...
2025-07-17 09:40:24 - Waiting for port 37229...
2025-07-17 09:40:26 - Waiting for port 37229...
2025-07-17 09:40:28 - Waiting for port 37229...
2025-07-17 09:40:31 - Waiting for port 37229...
2025-07-17 09:40:33 - Waiting for port 37229...
2025-07-17 09:40:35 - Waiting for port 37229...
2025-07-17 09:40:37 - Waiting for port 37229...
2025-07-17 09:40:39 - Waiting for port 37229...
2025-07-17 09:40:41 - Waiting for port 37229...
2025-07-17 09:40:44 - Waiting for port 37229...
2025-07-17 09:40:46 - Waiting for port 37229...
2025-07-17 09:40:48 - Waiting for port 37229...
2025-07-17 09:40:50 - Waiting for port 37229...
2025-07-17 09:40:52 - Waiting for port 37229...
2025-07-17 09:40:55 - Waiting for port 37229...
2025-07-17 09:40:57 - Waiting for port 37229...
2025-07-17 09:40:59 - Waiting for port 37229...
2025-07-17 09:41:01 - Waiting for port 37229...
2025-07-17 09:41:03 - Waiting for port 37229...
2025-07-17 09:41:05 - Waiting for port 37229...
2025-07-17 09:41:07 - Waiting for port 37229...
2025-07-17 09:41:09 - Waiting for port 37229...
2025-07-17 09:41:11 - Waiting for port 37229...
2025-07-17 09:41:13 - Waiting for port 37229...
2025-07-17 22:58:17 - Starting n8n-MCP server...
2025-07-17 22:58:18 - Waiting for port 37229...
2025-07-17 22:58:21 - Waiting for port 37229...
2025-07-17 22:58:23 - Waiting for port 37229...
2025-07-17 22:58:25 - Waiting for port 37229...
2025-07-17 22:58:27 - Waiting for port 37229...
2025-07-17 22:58:30 - Waiting for port 37229...
2025-07-17 22:58:32 - Waiting for port 37229...
2025-07-17 22:58:34 - Waiting for port 37229...
2025-07-17 22:58:36 - Waiting for port 37229...
2025-07-17 22:58:38 - Waiting for port 37229...
2025-07-17 22:58:40 - Waiting for port 37229...
2025-07-17 22:58:42 - Waiting for port 37229...
2025-07-17 22:58:44 - Waiting for port 37229...
2025-07-17 22:58:46 - Waiting for port 37229...
2025-07-17 22:58:48 - Waiting for port 37229...
2025-07-17 22:58:51 - Waiting for port 37229...
2025-07-17 22:58:53 - Waiting for port 37229...
2025-07-17 22:58:55 - Waiting for port 37229...
2025-07-17 22:58:57 - Waiting for port 37229...
2025-07-17 22:58:59 - Waiting for port 37229...
2025-07-17 22:59:01 - Waiting for port 37229...
2025-07-17 22:59:03 - Waiting for port 37229...
2025-07-17 22:59:05 - Waiting for port 37229...
2025-07-17 22:59:07 - Waiting for port 37229...
2025-07-17 22:59:09 - Waiting for port 37229...
2025-07-17 22:59:11 - Waiting for port 37229...
2025-07-17 22:59:13 - Waiting for port 37229...
2025-07-17 22:59:16 - Waiting for port 37229...
2025-07-17 22:59:18 - Waiting for port 37229...
2025-07-17 22:59:20 - Waiting for port 37229...
2025-07-17 22:59:22 - Waiting for port 37229...
2025-07-17 22:59:24 - Waiting for port 37229...
2025-07-17 22:59:26 - Waiting for port 37229...
2025-07-17 22:59:28 - Waiting for port 37229...
2025-07-17 22:59:30 - Waiting for port 37229...
2025-07-17 22:59:32 - Waiting for port 37229...
2025-07-17 22:59:34 - Waiting for port 37229...
2025-07-17 22:59:36 - Waiting for port 37229...
2025-07-17 22:59:39 - Waiting for port 37229...
2025-07-17 22:59:41 - Waiting for port 37229...
2025-07-17 22:59:43 - Waiting for port 37229...
2025-07-17 22:59:45 - Waiting for port 37229...
2025-07-17 22:59:47 - Waiting for port 37229...
2025-07-17 22:59:49 - Waiting for port 37229...
2025-07-17 22:59:51 - Waiting for port 37229...
2025-07-17 22:59:53 - Waiting for port 37229...
2025-07-17 22:59:55 - Waiting for port 37229...
2025-07-17 22:59:57 - Waiting for port 37229...
2025-07-17 23:00:00 - Waiting for port 37229...
2025-07-17 23:00:02 - Waiting for port 37229...
2025-07-17 23:00:04 - Waiting for port 37229...
2025-07-17 23:00:06 - Waiting for port 37229...
2025-07-17 23:00:08 - Waiting for port 37229...
2025-07-17 23:00:10 - Waiting for port 37229...
2025-07-17 23:00:12 - Waiting for port 37229...
2025-07-17 23:00:15 - Waiting for port 37229...
2025-07-17 23:00:17 - Waiting for port 37229...
2025-07-17 23:00:19 - Waiting for port 37229...
2025-07-17 23:00:21 - Waiting for port 37229...
2025-07-17 23:00:23 - Waiting for port 37229...
2025-07-17 23:00:25 - Waiting for port 37229...
2025-07-17 23:00:27 - Waiting for port 37229...
2025-07-17 23:00:29 - Waiting for port 37229...
2025-07-17 23:00:31 - Waiting for port 37229...
2025-07-17 23:00:33 - Waiting for port 37229...
2025-07-17 23:00:36 - Waiting for port 37229...
2025-07-17 23:00:38 - Waiting for port 37229...
2025-07-17 23:00:40 - Waiting for port 37229...
2025-07-17 23:00:42 - Waiting for port 37229...
2025-07-17 23:00:44 - Waiting for port 37229...
2025-07-17 23:00:46 - Waiting for port 37229...
2025-07-17 23:00:48 - Waiting for port 37229...
2025-07-18 21:48:40 - Starting n8n-mcp with TCP on port 37229
2025-07-18 21:48:42 - Waiting for port 37229...
2025-07-18 21:48:44 - Waiting for port 37229...
2025-07-18 21:48:46 - Waiting for port 37229...
2025-07-18 21:48:49 - Waiting for port 37229...
2025-07-18 21:48:51 - Waiting for port 37229...
2025-07-18 21:48:53 - Waiting for port 37229...
2025-07-18 21:48:55 - Waiting for port 37229...
2025-07-18 21:48:57 - Waiting for port 37229...
2025-07-18 21:49:00 - Waiting for port 37229...
2025-07-18 21:49:02 - Waiting for port 37229...
2025-07-18 21:49:04 - Waiting for port 37229...
2025-07-18 21:49:06 - Waiting for port 37229...
2025-07-18 21:49:08 - Waiting for port 37229...
2025-07-18 21:49:10 - Waiting for port 37229...
2025-07-18 21:49:12 - Waiting for port 37229...
2025-07-18 21:49:15 - Waiting for port 37229...
2025-07-18 21:49:17 - Waiting for port 37229...
